AAPL,MSFT,UNH,KO,DIS,GS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
31,5,3,25,23,13,0.891586012423400964266306800710,46697.836082754416565876454114913940,52376.142550538701470941305160522461,1,160,look letf
31,5,3,23,24,14,0.889419909711933076579271073570,49217.839175475644879043102264404297,55337.010829245329659897834062576294,1,160,look right
31,5,3,25,24,12,0.888525539548711162929350848572,46877.818423437056480906903743743896,52759.111963452007330488413572311401,1,160,look letf
31,5,3,24,23,14,0.887983429584719652361002317775,47865.189710057347838301211595535278,53903.246519411186454817652702331543,1,160,look right
31,5,3,24,25,12,0.888616131741779557984273196780,48230.467888855258934199810028076172,54275.931041583222395274788141250610,1,160,look letf
30,6,3,24,24,13,0.893880305243983319662959274865,47985.067752944727544672787189483643,53681.759707019467896316200494766235,1,160,look right
32,4,3,24,24,13,0.893392770520254231314538628794,48116.426904258529248181730508804321,53858.088504833802289795130491256714,1,160,look letf
30,5,4,24,24,13,0.892574580877392054212293714954,48227.469951676219352521002292633057,54031.865778957195288967341184616089,1,160,look right
32,5,2,24,24,13,0.892120859083934902855617110617,47874.024705527022888418287038803101,53663.160342070659680757671594619751,1,160,look letf
29,8,3,23,24,13,0.890165683537925689350345237472,48234.732799758385226596146821975708,54186.241608473930682521313428878784,1,160,look right
37,0,3,23,24,13,0.885310585681665984658650359052,48762.772524916923430282622575759888,55079.848037026313249953091144561768,4,160,acc letf
35,2,3,23,24,13,0.890826198226851939665493773646,48630.720187254577467683702707290649,54590.581511917545867618173360824585,2,160,dec letf
30,7,2,24,24,13,0.893652353786973829841144834063,47741.972367864691477734595537185669,53423.428210703597869724035263061523,1,160,Resultant Force0 3
29,8,2,24,24,13,0.893280640217845145478747781453,47676.031011778912215959280729293823,53371.839560020147473551332950592041,1,160,look right
29,7,3,24,24,13,0.892994034595921415409236487903,47918.433210510367644019424915313721,53660.418047689861850813031196594238,1,160,look right
31,7,1,24,24,13,0.890933466082723501955342726433,47564.987964361214835662394762039185,53387.811520310300693381577730178833,1,160,look letf
29,7,2,25,24,13,0.893565078514812816123935590440,47359.731422530931013170629739761353,53000.875438470749941188842058181763,1,160,look right
31,7,2,23,24,13,0.893268087262826027128426176205,48123.689752340687846299260854721069,53873.736718617677979636937379837036,1,160,look letf
29,7,2,24,25,13,0.892351608754735181605610705446,48712.380887949264433700591325759888,54588.774660166462126653641462326050,1,160,look right
31,7,2,24,23,13,0.892174101671444508276920259959,46771.040286922332597896456718444824,52423.669549809928867034614086151123,1,160,look letf
29,7,2,24,24,14,0.890343076410989864299949658744,48527.085049833847733680158853530884,54503.804584462603088468313217163086,1,160,look right
31,7,2,24,24,12,0.889180272372113722489928022696,46951.022627604994340799748897552490,52802.591427665443916339427232742310,1,160,look letf
30,8,1,24,24,13,0.891844873911451285763973828580,47499.570169133199669886380434036255,53259.901535128738032653927803039551,1,160,look letf
