TRI.TO,CSU.TO,IFC.TO,AEM.TO,CNR.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
20,19,25,30,6,0.980693127132219677477564800938,47894.104490118552348576486110687256,48836.994126972545927856117486953735,1,74,Local Search add14/miner23
19,17,27,32,5,0.978101594634065096833808183874,46686.443955204180383589118719100952,47731.691893080773297697305679321289,1,74,Local Search add23/miner01
19,18,27,32,4,0.977282155646608474697245583229,47065.701022397865017410367727279663,48159.787580749733024276793003082275,1,74,Local Search add23/miner04
20,17,27,32,4,0.977975441703275549798490828834,47045.371470355719793587923049926758,48104.859758461716410238295793533325,1,74,Local Search add23/miner14
19,17,27,31,6,0.983072335119015150439736316912,46707.380361001291021239012479782104,47511.641506366555404383689165115356,1,74,Local Search add24/miner01
19,18,27,30,6,0.981527679838790301225515122496,47107.573833992086292710155248641968,47994.136896607138623949140310287476,1,74,Local Search add24/miner03
20,17,27,30,6,0.981730020043306117472070582153,47087.244281949926516972482204437256,47963.537144227098906412720680236816,1,74,Local Search add24/miner13
19,17,26,32,6,0.979140784040883005445721209981,46700.289973649545572698116302490234,47695.173906370160693768411874771118,1,74,Local Search add34/miner01
19,18,25,32,6,0.979729567911049925577060548676,47093.393059288508084136992692947388,48067.747061773006862495094537734985,1,74,Local Search add34/miner02
20,17,25,32,6,0.979824905390490052958796241001,47073.063507246362860314548015594482,48042.321896774315973743796348571777,1,74,Local Search add34/miner12
