AAPL,MSFT,UNH,PG,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
19,20,18,18,25,0.841417638241869214610346716654,51711.278927816376381088048219680786,61457.326989087603578809648752212524,1,89,Local Search 0 2
21,20,17,17,25,0.841906159843235468720479275362,51417.666396858970983885228633880615,61072.918633156266878359019756317139,1,89,Local Search 0 3
19,20,17,19,25,0.844225757401331211582373725832,51651.446212624643521849066019058228,61182.030706592602655291557312011719,1,94,Local Search 0 3
18,20,17,20,25,0.844742734225354729993284763623,51768.017526427051052451133728027344,61282.583950129286677110940217971802,1,95,Local Search 0 3
17,20,17,21,25,0.844836719571762317926300056570,51884.645653881008911412209272384644,61413.814589144181809388101100921631,1,96,Local Search 0 3
16,20,17,22,25,0.844511694702463566741812428518,52001.273781334959494415670633316040,61575.552011338259035255759954452515,1,96,Local Search 0 3
18,20,17,21,24,0.844502587778609536961482717743,50914.237133796465059276670217514038,60289.024415806619799695909023284912,1,96,Local Search 0 4
16,20,17,21,26,0.843264663577546036421495045943,52855.054173965589143335819244384766,62679.081025082079577259719371795654,1,96,Local Search 0 4
17,21,16,21,25,0.844074514813310639027577053639,51642.243455149538931436836719512939,61182.090619773756770882755517959595,1,96,Local Search 1 2
17,19,18,21,25,0.844480484059485170256209585204,52127.047852612537099048495292663574,61726.764367642521392554044723510742,1,96,Local Search 1 2
17,21,17,20,25,0.845109330400859559695447842387,51702.076170341329998336732387542725,61177.973441397880378644913434982300,1,102,Local Search 1 3
17,22,17,19,25,0.843697823412827285771697916061,51520.087061310834542382508516311646,61064.620094559249992016702890396118,1,102,Local Search 1 3
17,22,17,20,24,0.843994031741764239029635064071,50665.726294170999608468264341354370,60030.905893506511347368359565734863,1,102,Local Search 1 4
17,20,17,20,26,0.843366121511825550527419181890,52738.426046511638560332357883453369,62533.251812359107134398072957992554,1,102,Local Search 1 4
17,21,18,19,25,0.842064819595599645118966236623,51762.489260042319074273109436035156,61470.908243027151911519467830657959,1,102,Local Search 2 3
17,21,16,21,25,0.844074514813310639027577053639,51642.243455149538931436836719512939,61182.090619773756770882755517959595,1,102,Local Search 2 3
17,21,18,20,24,0.842055005194651595701316182385,50908.128492902484140358865261077881,60457.010740212193923071026802062988,1,102,Local Search 2 4
17,21,16,20,26,0.842387677448430238769105926622,52496.023847780132200568914413452148,62318.128877180613926611840724945068,1,102,Local Search 2 4
17,21,17,21,24,0.845056389708881083855374072300,50848.295777710693073458969593048096,60171.482515181916824076324701309204,1,102,Local Search 3 4
17,21,17,19,26,0.843249203209223141541883705941,52556.436937481128552462905645370483,62326.103288876831356901675462722778,1,102,Local Search 3 4
18,20,17,20,25,0.844742734225354729993284763623,51768.017526427051052451133728027344,61282.583950129286677110940217971802,1,102,Local Search 0 1
16,22,17,20,25,0.844926123921919680626047011174,51636.134814255514356773346662521362,61113.194813499758311081677675247192,1,102,Local Search 0 1
